NU_ANO_CENSO;CO_IES;CO_CURSO;NO_CURSO;CO_CINE_AREA_GERAL;NO_CINE_AREA_GERAL;NO_CINE_ROTULO;TP_GRAU_ACADEMICO;TP_MODALIDADE_ENSINO;TP_DIMENSAO;NO_REGIAO;SG_UF;NO_MUNICIPIO;QT_VG_TOTAL;QT_INSCRITO_TOTAL;QT_ING;QT_MAT;QT_CONC
2024;322;1286800;Análise E Desenvolvimento De Sistemas;06;Computação e Tecnologias da Informação e Comunicação (TIC);Sistemas de informação;3;2;2;Centro-Oeste;GO;Mozarlândia;0;0;0;1;0
2024;322;1131979;Gestão Da Tecnologia Da Informação;06;Computação e Tecnologias da Informação e Comunicação (TIC);Gestão da tecnologia da informação;3;2;2;Centro-Oeste;GO;Mozarlândia;0;0;0;1;1
2024;322;1382607;Redes De Computadores;06;Computação e Tecnologias da Informação e Comunicação (TIC);Redes de computadores;3;2;2;Centro-Oeste;GO;Mozarlândia;0;0;1;1;0
2024;322;1484730;Segurança Da Informação;06;Computação e Tecnologias da Informação e Comunicação (TIC);Segurança da informação;3;2;2;Centro-Oeste;GO;Mozarlândia;0;0;0;0;0
2024;322;1286800;Análise E Desenvolvimento De Sistemas;06;Computação e Tecnologias da Informação e Comunicação (TIC);Sistemas de informação;3;2;2;Centro-Oeste;GO;Nerópolis;0;0;0;0;0
2024;322;1551097;Ciência Da Computação;06;Computação e Tecnologias da Informação e Comunicação (TIC);Ciência da computação;1;2;2;Centro-Oeste;GO;Nerópolis;0;0;0;0;0
2024;322;1131979;Gestão Da Tecnologia Da Informação;06;Computação e Tecnologias da Informação e Comunicação (TIC);Gestão da tecnologia da informação;3;2;2;Centro-Oeste;GO;Nerópolis;0;0;0;0;0
2024;322;1286800;Análise E Desenvolvimento De Sistemas;06;Computação e Tecnologias da Informação e Comunicação (TIC);Sistemas de informação;3;2;2;Centro-Oeste;GO;Niquelândia;0;0;0;0;0
2024;322;1551097;Ciência Da Computação;06;Computação e Tecnologias da Informação e Comunicação (TIC);Ciência da computação;1;2;2;Centro-Oeste;GO;Niquelândia;0;0;2;1;0
2024;322;1131979;Gestão Da Tecnologia Da Informação;06;Computação e Tecnologias da Informação e Comunicação (TIC);Gestão da tecnologia da informação;3;2;2;Centro-Oeste;GO;Niquelândia;0;0;1;1;0
2024;322;1286800;Análise E Desenvolvimento De Sistemas;06;Computação e Tecnologias da Informação e Comunicação (TIC);Sistemas de informação;3;2;2;Centro-Oeste;GO;Novo Gama;0;0;4;1;0
2024;322;1551097;Ciência Da Computação;06;Computação e Tecnologias da Informação e Comunicação (TIC);Ciência da computação;1;2;2;Centro-Oeste;GO;Novo Gama;0;0;2;1;0
2024;322;1131979;Gestão Da Tecnologia Da Informação;06;Computação e Tecnologias da Informação e Comunicação (TIC);Gestão da tecnologia da informação;3;2;2;Centro-Oeste;GO;Novo Gama;0;0;5;2;0
2024;322;1131979;Gestão Da Tecnologia Da Informação;06;Computação e Tecnologias da Informação e Comunicação (TIC);Gestão da tecnologia da informação;3;2;2;Centro-Oeste;GO;Pires do Rio;0;0;0;0;0
2024;322;1286800;Análise E Desenvolvimento De Sistemas;06;Computação e Tecnologias da Informação e Comunicação (TIC);Sistemas de informação;3;2;2;Centro-Oeste;GO;Planaltina;0;0;19;18;2
2024;322;1551097;Ciência Da Computação;06;Computação e Tecnologias da Informação e Comunicação (TIC);Ciência da computação;1;2;2;Centro-Oeste;GO;Planaltina;0;0;3;6;0
2024;322;1131979;Gestão Da Tecnologia Da Informação;06;Computação e Tecnologias da Informação e Comunicação (TIC);Gestão da tecnologia da informação;3;2;2;Centro-Oeste;GO;Planaltina;0;0;8;3;0
2024;322;1382607;Redes De Computadores;06;Computação e Tecnologias da Informação e Comunicação (TIC);Redes de computadores;3;2;2;Centro-Oeste;GO;Planaltina;0;0;2;1;0
2024;322;1484730;Segurança Da Informação;06;Computação e Tecnologias da Informação e Comunicação (TIC);Segurança da informação;3;2;2;Centro-Oeste;GO;Planaltina;0;0;0;2;0
2024;322;1131979;Gestão Da Tecnologia Da Informação;06;Computação e Tecnologias da Informação e Comunicação (TIC);Gestão da tecnologia da informação;3;2;2;Centro-Oeste;GO;Porangatu;0;0;2;1;0
2024;322;1286800;Análise E Desenvolvimento De Sistemas;06;Computação e Tecnologias da Informação e Comunicação (TIC);Sistemas de informação;3;2;2;Centro-Oeste;GO;Posse;0;0;1;2;0
2024;322;1131979;Gestão Da Tecnologia Da Informação;06;Computação e Tecnologias da Informação e Comunicação (TIC);Gestão da tecnologia da informação;3;2;2;Centro-Oeste;GO;Posse;0;0;2;1;0
2024;322;1382607;Redes De Computadores;06;Computação e Tecnologias da Informação e Comunicação (TIC);Redes de computadores;3;2;2;Centro-Oeste;GO;Posse;0;0;0;0;0
2024;322;1286800;Análise E Desenvolvimento De Sistemas;06;Computação e Tecnologias da Informação e Comunicação (TIC);Sistemas de informação;3;2;2;Centro-Oeste;GO;Rio Verde;0;0;3;1;0
2024;322;1131979;Gestão Da Tecnologia Da Informação;06;Computação e Tecnologias da Informação e Comunicação (TIC);Gestão da tecnologia da informação;3;2;2;Centro-Oeste;GO;Rio Verde;0;0;0;0;0
2024;322;1382607;Redes De Computadores;06;Computação e Tecnologias da Informação e Comunicação (TIC);Redes de computadores;3;2;2;Centro-Oeste;GO;Rio Verde;0;0;0;1;0
2024;322;1484730;Segurança Da Informação;06;Computação e Tecnologias da Informação e Comunicação (TIC);Segurança da informação;3;2;2;Centro-Oeste;GO;Rio Verde;0;0;0;1;1
2024;322;1286800;Análise E Desenvolvimento De Sistemas;06;Computação e Tecnologias da Informação e Comunicação (TIC);Sistemas de informação;3;2;2;Centro-Oeste;GO;Santo Antônio do Descoberto;0;0;0;2;0
2024;322;1131979;Gestão Da Tecnologia Da Informação;06;Computação e Tecnologias da Informação e Comunicação (TIC);Gestão da tecnologia da informação;3;2;2;Centro-Oeste;GO;Santo Antônio do Descoberto;0;0;1;1;0
2024;322;1382607;Redes De Computadores;06;Computação e Tecnologias da Informação e Comunicação (TIC);Redes de computadores;3;2;2;Centro-Oeste;GO;Santo Antônio do Descoberto;0;0;0;1;0
2024;322;1286800;Análise E Desenvolvimento De Sistemas;06;Computação e Tecnologias da Informação e Comunicação (TIC);Sistemas de informação;3;2;2;Centro-Oeste;GO;Senador Canedo;0;0;5;7;1
2024;322;1551097;Ciência Da Computação;06;Computação e Tecnologias da Informação e Comunicação (TIC);Ciência da computação;1;2;2;Centro-Oeste;GO;Senador Canedo;0;0;1;1;0
2024;322;1131979;Gestão Da Tecnologia Da Informação;06;Computação e Tecnologias da Informação e Comunicação (TIC);Gestão da tecnologia da informação;3;2;2;Centro-Oeste;GO;Senador Canedo;0;0;5;5;0
2024;322;1382607;Redes De Computadores;06;Computação e Tecnologias da Informação e Comunicação (TIC);Redes de computadores;3;2;2;Centro-Oeste;GO;Senador Canedo;0;0;2;2;0
2024;322;1484730;Segurança Da Informação;06;Computação e Tecnologias da Informação e Comunicação (TIC);Segurança da informação;3;2;2;Centro-Oeste;GO;Senador Canedo;0;0;0;1;1
